race,gender,birth_year_in_5_year_units,avg_unit_allegations_per_officer_per_year,sd_unit_allegations_per_officer_per_year
Hispanic,M,1980,0.5224627224627225,0.5264273714970331
Hispanic,M,1980,0.8251700680272108,1.059944501056107
Hispanic,M,1980,0.5428571428571429,0.7850646665162334
Hispanic,M,1980,0,
Hispanic,M,1985,0,0
Hispanic,M,1985,0,0
Hispanic,M,1985,0.3333333333333333,0.4714045207910317
Hispanic,M,1985,0,0
Hispanic,M,1990,0,
Native American/Alaskan Native,F,1945,0.26666666666666666,
Native American/Alaskan Native,F,1955,0,
Native American/Alaskan Native,F,1955,0.1111111111111111,
Native American/Alaskan Native,F,1960,0.52,
Native American/Alaskan Native,F,1970,0,
Native American/Alaskan Native,F,1975,0,
Native American/Alaskan Native,M,1930,0.018518518518518517,0.026189140043946204
Native American/Alaskan Native,M,1940,0.0625,
Native American/Alaskan Native,M,1940,0,
Native American/Alaskan Native,M,1945,0.06451612903225806,
Native American/Alaskan Native,M,1945,0.15151515151515152,0.21427478217774168
Native American/Alaskan Native,M,1950,0.26666666666666666,
Native American/Alaskan Native,M,1955,0.14285714285714285,
Native American/Alaskan Native,M,1955,0.27586206896551724,
Native American/Alaskan Native,M,1955,0.9292328042328042,0.15245820811297253
Native American/Alaskan Native,M,1960,0.23809523809523808,0.13468700594029476
Native American/Alaskan Native,M,1960,1.8846153846153846,2.1213203435596424
Native American/Alaskan Native,M,1965,1.3333333333333333,
Native American/Alaskan Native,M,1970,1.125,
Unknown,M,1980,0,
Unknown,M,1985,0,
Unknown,M,1990,0,
White,F,1915,0,
White,F,1915,0,
White,F,1915,0,0
White,F,1915,0,0
White,F,1920,0,0
White,F,1920,0,
White,F,1920,0,
White,F,1925,0,
White,F,1930,0,
White,F,1935,0,
White,F,1935,0.02,0.039999999999999994
White,F,1935,0.05659091222695974,0.05920580109695375
White,F,1935,0.11809417871709306,0.20018343046266365
White,F,1935,0,0
White,F,1940,0.15641200162939295,0.22593713388015746
White,F,1940,0.18653796120998242,0.26760257450230507
White,F,1940,0.13142708584905188,0.1612890894007608
White,F,1940,0.13747812922948652,0.27740606016161035
